Word,Meaning,Example,Checked,Column5,Column6
banana split,"a sweet food that consists of a banana with ice cream, cream, sauce, and nuts",Sexy man-splits.,0.0,,
perfect pitch,absolute pitch; the ability to recognize or sing a musical note at the correct pitch,,0.0,,
clapped-out,"old and in bad condition, or no longer effective",A clapped-out product from yesteryear.,0.0,,
quad,quadrangle; a square area in a school or university surrounded on all sides by buildings,"So, have you guys been out on the quad yet?",0.0,,
proviso,a part of a legal document that states that something must happen or be done,The provisos set out in a lease cover a range of matters which a tenant should understand before signing it. ... we also agree to a very specific proviso,0.0,,
vagrant,a person who has no home or job,The vagrant life.,0.0,,
totes,"a short form of totally, this word is most commonly used by teenage girls.","- Oh right, this is like a thing now. - Totes. We sing covers of songs but we do it without any instruments.",0.0,,
notch,"a step, degree, or grade a small cut on the edge or surface of something, especially a cut shaped like the letter V","This camera is a notch better than the other. Another notch on the belt? Just take the dramatics down a notch, okay?",0.0,,
gat,Gatling gun; a pistol or revolver.,A gat has range.,0.0,,
slat,"a thin, narrow piece of wood, plastic, or metal used to make such things as floors, furniture, or window coverings",So you bought a slat bike. She closed the slats of the Venetian blinds.,0.0,,
strum,to play a guitar or other musical instrument by moving your fingers quickly across its strings,When you came in and you were just struming the guitar...,0.0,,
forward-thinking,planning or tending to plan for the future; forward-looking.,This job doesn't tend to attract the most forward-thinking people.,0.0,,
the grapevine,"an unofficial, informal way of getting information by hearing about it from someone who heard it from someone else",I heard through the grapevine that they fired him – is that true? Word spread about the ex-looper grapevine,0.0,,
nab,to catch someone or take something suddenly,The thief was nabbed as he left the store. My employers in the future nab the target.,0.0,,
yikes,used as an expression of surprise or slight fear,- It's all from out mouths. - Yikes.,0.0,,
tacky,sticky,I left a fingerprint in the tacky paint. It's tacky. Don't do it.,0.0,,
close-knit,consisting of people who do a lot of activities together,a close-knit family/community/team What Aubrey means to say is that we're a close-knit talented group of ladies,0.0,,
full-on,complete; unrestrained,Full-on military intervention.,0.0,,
chart-topper,selling the most copies of a CD,a chart-topping group/song,0.0,,
rustle up,to quickly produce something such as a meal using whatever is available,"I'll see if I can rustle up some lunch. Then you rustle up a posse, and went out to get him.",0.0,,
defuse,to make a difficult or dangerous situation calmer,The two groups are trying to defuse tensions in the town council over the budget. But I'm gonna defuse that tension right now.,0.0,,
zap,to move something quickly,"You can zap files straight to the printer from a PDA or laptop. They zap him back to me, their looper.",0.0,,
drop,"to swallow an illegal drug, especially acid",How long since you dropped?,0.0,,
panhandle,to beg for money from people who pass in the street (in the US) a narrow strip of land that projects from one state into another,She sold me to a panhandle gang.,0.0,,
re,used in business letters for introducing the subject that you are going to write about,You can start by accepting my appologies re the hour.,0.0,,
posse,a group of people following a person in order to catch him or her,"In a lot of old westerns, the sheriff gathers a posse to chase the bad guy. Then you rustle up a posse, and went out to get him.",0.0,,
concussion,a head injury that makes someone feel ill or become unconscious for a short time,You might have a concussion.,0.0,,
right cross,"in boxing, a way of hitting your opponent from the side as they try to hit you",Come on. I know a right cross when I see one.,0.0,,
southpaw,"someone who uses their left hand, especially in boxing","Yes, in case you're wondering, I'm a southpaw.",0.0,,
deputy,"appointed, elected, or serving as an assistant or second-in-command.",You'll be deputizing for the manager while she's on holiday. I'm a deputized police officer... looking for an escaped criminal.,0.0,,
stem cell,a cell that is taken from a person or animal at an early stage of development and is capable of developing into cells of any type,Some scientists believe that stem cells will make it possible to treat serious diseases.,0.0,,
draft,a current of cold air inside a room,She felt a cold draft every time the door was opened. There's drafts in the house.,0.0,,
macula,"spot or blotch, especially on one's skin; macule.",... or the man with macular degeneration,0.0,,
venture a guess,introducing an opinion,I'd venture a guess that he will fail dismally. Anyone care to venture a guess just how?,0.0,,
wrath,very great anger; rage; fury,He feared the wrath of his employer. I pitty the poor kid who'd have to suffer her wrath.,0.0,,
tensile,it can be stretched,Tensile strain.,0.0,,
opt out,to decide not to take part in something or to stop taking part in it,"If you opt out before December 1st, your deposit will be refunded. What if we wanted to opt out?",0.0,,
harness,"the combination of straps, bands, and other parts forming the working gear of a draft animal. to bring under conditions for effective use; gain control over for a particular end in *, engaged in one's usual routine of work",The dam harnesses water power to generate electricity. We're trying to harness this capability. to harness water power; to harness the energy of the sun. After his illness he longed to get back in harness.,0.0,,
luge,a sledge used for racing on ice (the person using it lies on their back with their feet pointing forward),I was going more for the guys who do the luge.,0.0,,
lie low,to hide so you will not be found,he gunmen were lying low until the sheriff left town. You gotta lay low. Because of last night.,0.0,,
preempt,to prevent by acting first,One station preempted its Friday night schedule to televise the high school playoffs. (=replaced) Preempt the proteins.,0.0,,
big-time,in a significant manner,"""How was the interview?"" ""Terrible, I messed up big time."" You owe your aunt an apology bigtime.",0.0,,
